ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
198.74.44.135,,US,Glendale,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:37:22Z,2015-01-11T13:29:18Z
24.129.191.130,rrcs-24-129-191-130.se.biz.rr.com.,US,Clearwater,dnsmasq-2.55,,false,1.00,2017-04-28T20:37:33Z,2015-01-11T13:36:20Z
198.13.100.83,group.makeshomewarranty.com.,US,Walnut,unbound 1.4.22,,false,1.00,2017-04-28T20:37:33Z,2015-01-11T13:36:48Z
128.163.130.31,,US,Lexington,,,false,1.00,2017-04-28T20:37:34Z,2015-01-11T13:38:11Z
162.253.108.163,,US,Casselton,,,false,1.00,2017-04-28T20:37:39Z,2015-01-11T13:39:31Z
74.109.35.3,static-74-109-35-3.phlapa.fios.verizon.net.,US,,Microsoft DNS 6.0.6002 (17724C46),,false,0.50,2017-04-28T20:37:41Z,2015-01-11T13:40:56Z
64.61.49.44,static-64-61-49-44.isp.broadviewnet.net.,US,Newburyport,Microsoft DNS 6.0.6002 (1772487D),,false,1.00,2017-04-28T20:37:43Z,2015-01-11T13:44:58Z
208.61.202.20,,US,,,,false,1.00,2017-04-28T20:37:56Z,2015-01-11T13:51:40Z
209.74.232.233,,US,Blair,,,false,1.00,2017-04-28T20:37:55Z,2015-01-11T13:51:49Z
38.127.194.227,,US,,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2017-04-28T20:37:55Z,2015-01-11T13:52:54Z
216.30.168.150,ns1.centuryc.net.,US,Lahaina,Served by PowerDNS - http://www.powerdns.com,,false,1.00,2017-04-28T20:38:02Z,2015-01-11T13:58:42Z
131.247.19.9,miami.cutr.usf.edu.,US,Tampa,,,false,1.00,2017-04-28T20:38:03Z,2015-01-11T13:59:18Z
206.176.20.5,nsu-xdns01.northern.edu.,US,Aberdeen,,,false,0.50,2017-04-28T20:38:15Z,2015-01-11T13:59:28Z
216.137.192.132,132-192-137-216.mtaonline.net.,US,Wasilla,,,false,1.00,2017-04-28T20:38:04Z,2015-01-11T13:59:40Z
24.172.10.132,rrcs-24-172-10-132.midsouth.biz.rr.com.,US,Greensboro,,,false,1.00,2017-04-28T20:38:12Z,2015-01-11T14:00:12Z
24.199.39.194,mail.bbmg.us.,US,Tarzana,dnsmasq-2.45,,true,1.00,2017-04-28T20:38:09Z,2015-01-11T14:03:16Z
75.117.247.211,h211.247.117.75.static.ip.windstream.net.,US,Blanchard,dnsmasq-2.72,,false,1.00,2017-04-28T20:38:16Z,2015-01-11T14:08:25Z
209.135.43.4,ns7.usi.net.,US,Lake Mary,9.9.9-S7,,false,1.00,2017-04-28T20:38:23Z,2015-01-11T14:13:26Z
97.107.196.55,,US,Omaha,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:38:32Z,2015-01-11T14:15:43Z
173.13.252.149,robinhoodesq.com.,US,Rosedale,,,false,0.50,2017-04-28T20:39:05Z,2015-01-11T14:37:47Z
172.2.37.186,172-2-37-186.lightspeed.milwwi.sbcglobal.net.,US,Racine,,,true,1.00,2017-04-28T20:39:00Z,2015-01-11T14:39:30Z
129.7.235.243,erdc14.er.uh.edu.,US,Houston,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:39:03Z,2015-01-11T14:41:14Z
137.229.240.35,,US,Fairbanks,,,false,1.00,2017-04-28T20:39:04Z,2015-01-11T14:41:26Z
216.119.117.147,mail.ligoniervalleyrealty.com.,US,Phoenix,,,false,1.00,2017-04-28T20:39:21Z,2015-01-11T14:53:09Z
24.111.243.59,24-111-243-59-static.midco.net.,US,Minot,dnsmasq-2.45,,false,1.00,2017-04-28T20:39:44Z,2015-01-11T15:06:22Z
208.110.200.204,208-110-200-204.biz.houston.comcastbusiness.net.,US,Santa Fe,,,false,1.00,2017-04-28T20:39:44Z,2015-01-11T15:10:38Z
162.17.238.115,162-17-238-115-static.hfc.comcastbusiness.net.,US,,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:39:48Z,2015-01-11T15:12:12Z
198.13.100.82,resolver2.lax.psychz.net.,US,Walnut,unbound 1.4.22,,false,1.00,2017-04-28T20:39:45Z,2015-01-11T15:12:13Z
216.249.109.20,20.109.249.216.static.CharlotteColo.com.,US,Charlotte,,,false,1.00,2017-04-28T20:39:51Z,2015-01-11T15:12:32Z
204.8.88.119,md03.readytechs.com.,US,Roswell,,,false,1.00,2017-04-28T20:39:53Z,2015-01-11T15:14:43Z
204.8.88.69,md01.readytechs.com.,US,Roswell,,,false,1.00,2017-04-28T20:40:00Z,2015-01-11T15:19:17Z
